month,little_italy,mercier,ndg,griffintown,le_plateau,ahuntsic,villeray,rosemont,lachine,le_sud_ouest,pointe_saint_charles,lasalle,new_rosemont,old_rosemont,rivière_des_prairies,dorval,montreal_nord,verdun,ville_marie,cdn,la_petite_patrie
2013-08-01,295000,220000,284145,244000,325000,221301,194549,369000,254000,247604,359000,248500,284000,226000,165000,210000,367000,260000,310000,248750,257000
2013-09-01,422500,209000,315000,315000,287385,222500,184771,318000,248488,270500,296000,243000,214000,132000,178000,210000,215000,318500,263837,284262,209000
2013-10-01,263500,229000,269000,278000,355000,250000,206000,293500,233520,223000,254950,312000,167500,260000,225000,330000,245000,258000,310000,320000,231925
2013-11-01,257000,234210,302500,314000,310000,251664,204500,342000,240750,250000,242000,260000,289000,209000,219900,189750,280500,294900,306000,335000,279500
2013-12-01,246500,246950,280000,257000,335000,216000,163974,283750,240000,229750,537500,160000,374150,260500,200000,232500,170000,237000,310000,223750,312000
2014-01-01,427500,222000,293500,480000,272500,232750,186643,335000,221750,224000,244000,285000,231364,224500,180000,211481,208000,279900,235897,310000,317710
2014-02-01,295000,262500,352500,300000,321000,241450,164143,299750,254000,252500,270000,252750,170000,337000,187250,241000,180000,238850,270000,294500,245000
2014-03-01,330000,235444,270000,248000,325000,225000,170906,315000,230000,237500,248500,256000,193183,232000,195000,207000,190750,242500,300000,250000,270000
2014-04-01,353000,227500,318500,274000,332500,236000,177000,294000,232070,233000,228500,222500,226000,284500,190000,231000,242500,277000,295000,269500,280000
2014-05-01,402944,205500,380000,260000,317221,235000,187139,285000,282550,280000,247000,280000,263000,245500,191500,206000,271000,260000,309500,270000,293500
2014-06-01,264250,214500,365000,251000,346000,219450,191865,301500,253500,225000,263000,245000,261500,246500,182500,255000,187500,242500,319750,268000,255500
2014-07-01,300000,243326,325000,277000,323500,225000,195000,362000,248250,209543,234500,283000,180823,285000,205000,301000,187500,272000,292000,290000,270000
2014-08-01,258000,216750,253500,268000,311755,227650,182878,335000,239484,258000,290642,275000,205750,226500,175500,171000,225000,267000,335000,306500,253000
2014-09-01,227500,224000,304000,268000,350000,255000,159000,361308,235000,254250,220000,205500,223000,206000,208000,348000,189000,258910,286000,293500,230000
2014-10-01,361000,216000,349000,267250,349000,257000,220000,282500,190000,240532,330000,207500,241150,270000,173750,210000,222750,311250,329000,487000,317000
2014-11-01,223000,210000,335000,260500,290000,239000,181998,318800,239100,227000,227650,255500,333761,200500,161000,200750,195000,269647,326500,340000,320000
2014-12-01,247660,245750,277500,263500,340000,232500,186500,318800,185000,257250,220000,238000,265500,237400,183750,230468,160363,275000,322000,321000,296861
2015-01-01,576500,220000,377500,276000,298000,234000,172755,326000,214000,220000,245000,330000,186000,257348,183450,240000,246930,253500,307500,283500,289250
2015-02-01,282000,242750,350000,313673,332500,245178,165000,290500,199000,208000,325068,223244,239000,250000,194000,189500,187500,282000,310000,405000,290000
2015-03-01,282515,224000,355000,270000,340000,235000,182093,265000,221500,247000,300000,220000,241000,254700,174500,231364,210000,275000,322500,311000,310750
2015-04-01,399500,222370,377000,271250,374000,227000,192284,319000,270000,230000,245000,265000,244500,302186,190000,250500,200000,313000,337000,252000,269000
2015-05-01,312500,241273,272500,280500,342500,257824,181450,348000,308375,235700,299000,252000,283500,268000,204900,232950,201000,266000,355000,341500,315900
2015-06-01,322000,217250,343000,286250,320000,231000,155000,340000,265000,228000,252500,243500,241592,236000,187500,217000,225000,246500,351000,320000,281520
2015-07-01,433000,219000,292500,312000,330500,217500,280000,386500,241500,242500,306500,225425,241592,208000,188500,277500,182000,265000,331960,290000,279500
2015-08-01,370000,257500,375000,281000,301500,255500,161756,317500,283250,197500,409000,275000,213500,238000,183500,187000,189350,258000,309500,262500,280000
2015-09-01,282000,260000,440000,270000,326500,263000,175000,272000,262500,218000,308075,207450,202131,288000,185000,251000,190000,250950,320000,297435,317400
2015-10-01,182500,238422,280375,297500,325500,241024,181075,385000,271500,233500,238750,281500,189485,242000,135000,260000,160000,264000,311000,292000,250000
2015-11-01,221500,217609,365000,332000,340000,234766,232189,315000,186000,204000,307000,252784,189485,245000,179750,261833,278000,319000,317750,312000,304000
2015-12-01,288205,235250,316250,288000,372000,225000,232189,279500,222450,228422,242500,269000,211000,245000,198000,253000,225000,252000,337500,309500,283103
2016-01-01,307000,235000,310000,281502,280000,258892,203000,272000,195000,197500,266766,257500,195000,172500,165000,233750,203000,290000,307374,259500,279900
2016-02-01,392500,252000,418000,293000,335000,248475,194000,338500,245750,287500,261750,216000,243250,304000,173000,249750,265000,288205,290723,297500,308500
2016-03-01,309750,224000,330800,338250,335000,240631,214000,290000,231500,219500,219500,302000,171100,264000,200700,215000,280000,280000,337500,272500,287250
2016-04-01,385000,246000,388000,284000,325000,235000,193647,314350,225000,243000,260000,253000,247000,245000,185000,238000,250000,250000,328500,270000,280000
2016-05-01,284825,241500,349500,317500,360000,239000,201000,296000,251000,230000,323750,255000,296000,254900,195000,240900,194000,285100,342000,312500,305000
2016-06-01,335000,255000,339000,292500,331000,256900,179800,264500,209000,125000,298500,300000,313500,276500,185000,275000,216679,276600,340250,315000,299500
2016-07-01,325921,208500,341750,302500,301000,232500,157500,407000,245000,263845,290000,287000,313500,267500,183000,195000,160000,288000,345000,408000,295000
2016-08-01,288500,233750,339000,340000,320000,231250,172000,320000,307000,250040,368000,325000,220000,315000,192000,219000,403542,272500,345000,385000,402250
2016-09-01,475000,280110,359103,301000,314500,216250,174000,320000,239475,239000,285000,251500,223500,307500,166500,311000,190000,250000,360000,345500,265620
2016-10-01,362000,229000,368500,275000,323250,252000,206773,325000,267500,261500,302500,266250,175000,236000,195000,235000,227500,254000,310500,375000,286250
2016-11-01,337500,248000,345000,350000,335850,232000,179450,246500,227223,178000,282750,318150,322000,227500,169500,203500,205000,250000,340000,288000,300686
2016-12-01,311000,259900,359500,315500,333500,217500,316500,376000,245000,248000,217500,329000,220000,257386,217000,189000,163000,322509,332500,358444,348828
2017-01-01,362500,208000,283250,355500,319500,223000,172000,373000,245000,197500,263000,254000,175000,225000,217750,289500,280000,270000,331256,315750,335000
2017-02-01,350500,242750,406000,325000,320000,222950,199653,360000,234500,236000,314000,270000,236250,247250,203500,238500,220000,270000,346000,300000,290000
2017-03-01,386500,246250,350000,281000,347500,217500,182500,400000,199450,257000,292000,296000,273000,248250,170000,198000,236887,290000,358000,333750,283815
2017-04-01,360000,225000,392000,291500,329000,229750,188000,356500,257000,240000,330000,270000,248000,282000,182000,237500,203750,323750,345000,318250,280000
2017-05-01,359900,235000,385250,305000,322000,225950,183250,302000,221500,230500,279000,280000,264000,237700,182000,195000,185000,286000,326500,336500,299000
2017-06-01,477403,228000,372000,280000,354250,250000,247500,390000,205000,257500,339000,290133,310000,235000,188000,240875,235250,270500,364500,258000,283000
2017-07-01,298200,260000,296000,315000,325000,223000,219750,330000,281000,239500,362500,280000,321000,330000,223000,197500,321000,267750,349250,351000,307250
2017-08-01,419900,250000,313691,340000,357000,285000,185000,325000,246500,252000,356845,290000,170000,264900,191050,230575,154000,287000,328326,306564,348000
2017-09-01,373500,232350,290000,290000,335000,260000,173500,352193,224250,273000,322500,306000,309500,275000,171250,255000,161000,310000,363500,405000,303814
2017-10-01,357943,250000,343000,320000,365750,235000,185000,294000,272000,254500,274000,266000,227000,304500,180000,195000,217000,288500,351500,277000,318000
2017-11-01,310000,226710,400000,348000,324500,270000,176500,307500,274000,283000,320000,262500,181750,299500,190000,325781,245000,269000,375000,385000,342000
2017-12-01,337500,245000,262000,330000,368000,290000,228798,385000,262500,218000,248500,311000,181750,267500,200000,253032,270500,285000,385000,315000,335000
2018-01-01,283750,220000,337000,323000,325500,255000,155000,391419,220000,267000,365000,252500,279000,201340,217000,197500,193500,260000,365000,335000,375000
2018-02-01,388000,246750,360000,327500,390000,250850,227000,354000,219000,245000,354500,282000,226500,305750,223000,250000,236500,300250,365000,290000,332500
2018-03-01,329000,245000,340000,325000,355000,266500,192000,290000,262250,240500,335000,262500,269000,283650,180000,229000,177000,258200,357500,310050,331000
2018-04-01,376000,247250,369000,320000,377500,262500,217500,365000,269000,267500,293750,280000,180500,298000,189500,260000,207000,299500,361250,383400,349500
2018-05-01,372500,265000,355000,350250,418000,235000,259000,360691,241000,262000,345000,295000,280500,265000,185000,239562,229000,330920,392756,318500,337000
2018-06-01,362500,250000,373000,373000,350000,261450,170250,327000,285000,237000,344250,331345,185000,282500,183500,304750,215000,349000,395000,332250,295000
2018-07-01,326900,268950,339000,318000,386094,225000,190000,309000,280000,261250,381000,295514,185000,325000,213500,222000,245000,342000,384000,352000,342500
2018-08-01,291000,245000,400000,371000,363500,247000,195500,375500,269000,300000,383250,296500,258500,234750,183500,245000,225500,342500,420000,331250,363500
